epoch,con_loss,adv_loss,dic_loss
14,0.1659,,
14,0.4383,,
14,0.4029,,
14,0.1539,,
14,0.1972,,
15,0.19,,
15,0.2035,,
15,0.2468,,
15,0.2545,,
15,0.3433,,
15,0.2178,,
15,0.2534,,
15,0.256,,
15,0.1829,,
15,0.2953,,
15,0.3473,,
15,0.2134,,
15,0.338,,
15,0.1993,,
15,0.2935,,
15,0.2454,,
15,0.2049,,
15,0.2281,,
15,0.2142,,
15,0.2047,,
15,0.249,,
15,0.1514,,
15,0.2096,,
15,0.1454,,
15,0.2203,,
15,0.1482,,
15,0.133,,
15,0.1382,,
15,0.3218,,
15,0.2872,,
15,0.1637,,
15,0.2029,,
15,0.1978,,
15,0.2517,,
15,0.2222,,
15,0.2393,,
15,0.3761,,
15,0.226,,
15,0.1929,,
15,0.1466,,
15,0.2549,,
15,0.3111,,
15,0.266,,
15,0.2204,,
15,0.2688,,
15,0.1539,,
15,0.2751,,
15,0.1827,,
15,0.2073,,
15,0.2083,,
16,0.1878,,
16,0.3888,,
16,0.4385,,
16,0.169,,
16,0.1204,,
16,0.2166,,
16,0.171,,
16,0.1914,,
16,0.2398,,
16,0.2325,,
16,0.2507,,
16,0.2293,,
16,0.2388,,
16,0.1738,,
16,0.3902,,
16,0.4369,,
16,0.304,,
16,0.2509,,
16,0.192,,
16,0.1625,,
16,0.3314,,
16,0.2038,,
16,0.261,,
16,0.1936,,
16,0.245,,
16,0.2684,,
16,0.3114,,
16,0.1981,,
16,0.2191,,
16,0.2452,,
16,0.2649,,
16,0.2025,,
16,0.2997,,
16,0.2788,,
16,0.2065,,
16,0.2217,,
16,0.2005,,
16,0.2014,,
16,0.2762,,
16,0.2374,,
16,0.2088,,
16,0.2448,,
16,0.1733,,
16,0.174,,
16,0.2492,,
16,0.2201,,
16,0.3582,,
16,0.182,,
16,0.2845,,
16,0.1968,,
17,0.2234,,
17,0.204,,
17,0.2489,,
17,0.2945,,
17,0.2774,,
17,0.1334,,
17,0.2394,,
17,0.2619,,
17,0.2253,,
17,0.2944,,
17,0.3731,,
17,0.2335,,
17,0.3412,,
17,0.2918,,
17,0.2101,,
17,0.2282,,
17,0.2518,,
17,0.1851,,
