mode,layer_count,epoch,batch_size,active_function,loss_function,optimizer_function,lr,weight_decay,time,loss_train,loss_validate,acc_train,acc_validate,acc_test,remark
MLP,5,15,16,ReLU,CrossEntropyLoss,SGD,0.00025,0.0001,25.703195095062256,1.319537461566925,1.3826615258216859,0.526575,0.5029,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,16,16,ReLU,CrossEntropyLoss,SGD,0.000125,0.0001,26.39718246459961,1.2897489029645919,1.370811411857605,0.537325,0.5135,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,17,16,ReLU,CrossEntropyLoss,SGD,0.000125,0.0001,25.87826943397522,1.2818315604448318,1.3650580312728882,0.5369,0.516,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,18,16,ReLU,CrossEntropyLoss,SGD,0.000125,0.0001,25.82333469390869,1.2775858010292054,1.356059316253662,0.540075,0.5182,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,19,16,ReLU,CrossEntropyLoss,SGD,0.000125,0.0001,25.769388675689697,1.2677111891508102,1.3506993870735169,0.5417,0.5234,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,20,16,ReLU,CrossEntropyLoss,SGD,0.000125,0.0001,25.788649082183838,1.2646701239585876,1.3397830443382264,0.544775,0.5246,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,21,16,ReLU,CrossEntropyLoss,SGD,6.25e-05,0.0001,25.823505878448486,1.251946449971199,1.329311489391327,0.552975,0.527,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,22,16,ReLU,CrossEntropyLoss,SGD,6.25e-05,0.0001,25.753098249435425,1.2417300255298616,1.3250653284072875,0.553925,0.5317,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,23,16,ReLU,CrossEntropyLoss,SGD,6.25e-05,0.0001,25.84568476676941,1.2416934734344482,1.333748522567749,0.554725,0.526,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,24,16,ReLU,CrossEntropyLoss,SGD,6.25e-05,0.0001,25.71997094154358,1.2339649983406067,1.324372599887848,0.556475,0.524,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,25,16,ReLU,CrossEntropyLoss,SGD,6.25e-05,0.0001,25.768718004226685,1.2331536219835282,1.3397307823181153,0.55745,0.525,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,26,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,25.810019493103027,1.2252766502857209,1.3222201899528503,0.559325,0.5282,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,27,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,25.687825441360474,1.224643292248249,1.3094209857940673,0.560075,0.5327,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,28,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,25.884986400604248,1.219333640050888,1.3131502724647521,0.56225,0.5409,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,29,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,25.684877157211304,1.219571206831932,1.3202519169807434,0.56215,0.5313,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,5,30,16,ReLU,CrossEntropyLoss,SGD,3.125e-05,0.0001,25.662636518478394,1.2183191205382347,1.3204707118988037,0.5617,0.5337,0,"num_neurons:[512, 256, 128, 64, 32]"
MLP,2,1,16,Sigmoid,CrossEntropyLoss,SGD,0.001,0.0001,24.5578351020813,2.0694527204036715,1.9769321134567261,0.24965,0.2821,0,"num_neurons:[512, 128]"
MLP,2,2,16,Sigmoid,CrossEntropyLoss,SGD,0.001,0.0001,24.23275661468506,1.9217102746486663,1.8885716676712037,0.307375,0.318,0,"num_neurons:[512, 128]"
MLP,2,3,16,Sigmoid,CrossEntropyLoss,SGD,0.001,0.0001,24.025320053100586,1.8516935983181,1.8185299371719361,0.336375,0.3523,0,"num_neurons:[512, 128]"
MLP,2,4,16,Sigmoid,CrossEntropyLoss,SGD,0.001,0.0001,24.0173180103302,1.7968222370624543,1.7860795753479004,0.3524,0.3564,0,"num_neurons:[512, 128]"
MLP,2,5,16,Sigmoid,CrossEntropyLoss,SGD,0.001,0.0001,23.992666482925415,1.7459791055679321,1.736785325241089,0.36975,0.3767,0,"num_neurons:[512, 128]"
MLP,2,6,16,Sigmoid,CrossEntropyLoss,SGD,0.0005,0.0001,23.95888900756836,1.6977320082664489,1.696497686958313,0.38975,0.3926,0,"num_neurons:[512, 128]"
MLP,2,7,16,Sigmoid,CrossEntropyLoss,SGD,0.0005,0.0001,23.965604782104492,1.6749909672737122,1.6762030765533447,0.397475,0.3942,0,"num_neurons:[512, 128]"
MLP,2,8,16,Sigmoid,CrossEntropyLoss,SGD,0.0005,0.0001,23.94884729385376,1.6531218944549562,1.6583278694152832,0.409075,0.4041,0,"num_neurons:[512, 128]"
MLP,2,9,16,Sigmoid,CrossEntropyLoss,SGD,0.0005,0.0001,23.944130420684814,1.637544499230385,1.645701044845581,0.41195,0.4131,0,"num_neurons:[512, 128]"
MLP,2,10,16,Sigmoid,CrossEntropyLoss,SGD,0.0005,0.0001,24.12794518470764,1.6187921711206437,1.6273467956542969,0.41815,0.4159,0,"num_neurons:[512, 128]"
MLP,2,11,16,Sigmoid,CrossEntropyLoss,SGD,0.00025,0.0001,24.34009838104248,1.5955495134592057,1.6115502585411072,0.4285,0.422,0,"num_neurons:[512, 128]"
MLP,2,12,16,Sigmoid,CrossEntropyLoss,SGD,0.00025,0.0001,24.298264980316162,1.5828935701608657,1.6056777232170105,0.4302,0.4238,0,"num_neurons:[512, 128]"
MLP,2,13,16,Sigmoid,CrossEntropyLoss,SGD,0.00025,0.0001,24.295731782913208,1.575488991832733,1.5946639430999756,0.436125,0.4281,0,"num_neurons:[512, 128]"
MLP,2,14,16,Sigmoid,CrossEntropyLoss,SGD,0.00025,0.0001,24.30204486846924,1.567710865855217,1.5918070187568665,0.438975,0.4264,0,"num_neurons:[512, 128]"
